FirstName,LastName,Gender,DellEmail,University,BusinessUnit,Degree,Major,Year,ReturningIntern,CampusLocation,TechnologiesOfInterest,TechnologiesUsing
Ayushi,Batwara,Female,ayushi.batwara@dell.com,University of California - Berkeley,CSO,Masters,Marketing,Junior,N,Remote,Cloud,"Grid Computing , Virtualization , Artifical intelligence"
Silvia,Lopez,Female,silvia.lopez@dell.com,Columbia University,CTO,Bachelors,Mechanical Engineering,Sophomore,N,Massachusets - Hopkinton,"Data engineering, Python, SQL,","Visualization , C , Big data"
Wren,Wilson,Male,Wren.Wilson@dell.com,Duke University,CSG,MBA,Business,Senior,N,Texas - Round Rock,"bookeeping , packaging , advertising","Java , Cloud , Grid Computing"
Kaleb,Walker,Male,Kaleb.Walker@dell.com,Middle Tennessee State University,CSG,Bachelors,Finance,Junior,N,California - Santa Clara,"automation , liabilities , blockchain","Virtualization , Networks , Python"
Catherine,Gilbert,Female,Catherine.Gilbert@dell.com,Duke University,CTO,Bachelors,Mechanical Engineering,Senior,N,Washington - Seattle,"Instrumentation , Photonics , Computer aided design","programmable logic , Signal processing , Instrumentation"
Alex,Campbell,Male,Alex.Campbell@dell.com,University of Wisconsin - Madison (Engineering),CSO,MBA,Marketing,Senior,N,Texas - Round Rock,"customer support , Product roadmaps , testing","microelectronics , circuitry , mechatronics"
Caroline,Young,Female,Caroline.Young@dell.com,Binghamton University,P&O Marketing MBA,Bachelors,Computer Engineering,Senior,N,Texas - Round Rock,"Data , Encryption , Big data","customer validation , customer research , Product roadmaps"
Bradley,Smith,Male,Bradley.Smith@dell.com,Texas A&M - College Station,P&O Marketing MBA,Bachelors,Mechanical Engineering,Senior,N,Texas - Round Rock,"embedded systems , programmable logic , Instrumentation","packaging , wholesale , customer relationships"
Tyson,Davis,Male,Tyson.Davis@dell.com,Florida International University,Telecom,Masters,Communications,Senior,N,Massachusets - Hopkinton,"Staffing , employee satisfaction , training","product design , advertising , marketing"
Alexis,Davidson,Male,Alexis.Davidson@dell.com,University of Texas - Austin,CSO,Masters,Computer Engineering,Junior,Y,Texas - Round Rock,"circuitry , programmable logic , computer architecture","Grid Computing , Big data , Python"
Hailey,Porter,Female,Hailey.Porter@dell.com,Hampton University,ISG,Bachelors,Mechanical Engineering,Senior,N,Massachusets - Hopkinton,"Computer aided design , programmable logic , computer architecture","Simulink , microelectronics , motion control"
Aaliyah,May,Male,Aaliyah.May@dell.com,University of California - Berkeley,ISG,Masters,Electrical Engineering,Senior,N,Texas - Round Rock,"optics , mechatronics , embedded systems","customer validation , customer research , Product roadmaps"
Kalani,Allen,Female,Kalani.Allen@dell.com,Western Illinois University,CTO,Bachelors,Marketing,Senior,N,Texas - Round Rock,"Agile , testing , customer support","Analytics , business cycles , asset allocation"
River,Patel,Female,River.Patel@dell.com,University of Maryland,CTO,MBA,Data Science,Junior,N,California - Santa Clara,"probability theory , capital gain , liabilities","Staffing , organizational structure , workplace safety"
Sloane,Gomez,Female,Sloane.Gomez@dell.com,Washington State University,CTO,Masters,Communications,Junior,N,California - Santa Clara,"training , recruiting , performance management","employee satisfaction , onboarding , performance management"
Aaron,Thomas,Female,Aaron.Thomas@dell.com,Indiana University,CSO,Bachelors,Communications,Senior,N,Texas - Round Rock,"Staffing , organizational structure , workplace safety","Java , Python , Virtualization"
Christopher,Hanson,Female,Christopher.Hanson@dell.com,University of Washington,Telecom,Bachelors,Communications,Sophomore,N,Texas - Round Rock,"employee satisfaction , onboarding , performance management","marketing , consulting , wholesale"
Sophie,Cruz,Male,Sophie.Cruz@dell.com,University of Texas - Dallas,P&O Marketing MBA,Bachelors,Computer Engineering,Junior,N,California - Santa Clara,"Java , Python , Virtualization","consulting , big data, accounting"
Axel,Morales,Female,Axel.Morales@dell.com,University of Wisconsin - Madison (Engineering),CTO,Bachelors,Business,Senior,N,Washington - Seattle,"marketing , consulting , wholesale","Cloud , Virtualization , Java"
Dylan,Hammond,Female,Dylan.Hammond@dell.com,North Carolina A&T,P&O Marketing MBA,Bachelors,Data Science,Senior,Y,Washington - Seattle,"consulting , big data, accounting","Signal processing , mechatronics , Pspice"
Myla,Porter,Female,Myla.Porter@dell.com,"Texas A&M University, Mays Business School College",ISG,MBA,Computer Engineering,Junior,N,Massachusets - Hopkinton,"Cloud , Virtualization , Java","consulting , tax , mass merchandising"
Samara,Gilbert,Female,Samara.Gilbert@dell.com,Texas A&M - College Station,P&O Marketing MBA,MBA,Mechanical Engineering,Junior,N,California - Santa Clara,"Signal processing , mechatronics , Pspice","publishing , income statement , product design"
Kayla,Adams,Male,Kayla.Adams@dell.com,University of Washington - Seattle,CSO,Masters,Business,Senior,N,Remote,"consulting , tax , mass merchandising","Computer aided design , computer architecture , mechatronics"
Leighton,Patterson,Female,Leighton.Patterson@dell.com,Santa Clara University,CSO,MBA,Computer Science,Senior,N,Texas - Round Rock,"publishing , income statement , product design","encryption, cybersecurity, blockchain"
Talia,Peterson,Male,Talia.Peterson@dell.com,Washington State University,CSO,Masters,Mechanical Engineering,Senior,N,Texas - Round Rock,"Computer aided design , computer architecture , mechatronics","testing , customer validation , customer research"
Hadley,Schultz,Male,Hadley.Schultz@dell.com,North Carolina State University,CSG,Masters,Computer Science,Senior,N,Remote,"encryption, cybersecurity, blockchain","Grid Computing , Encryption , Cloud"
Giselle,Perkins,Male,Giselle.Perkins@dell.com,Texas A&M - College Station,CTO,Bachelors,Marketing,Sophomore,N,Washington - Seattle,"testing , customer validation , customer research","capital gain , asset allocation"
Conor,Morales,Male,Conor.Morales@dell.com,(CFT) University of Puerto Rico - Mayaguez,CSO,Bachelors,Data Science,Sophomore,N,Washington - Seattle,"Grid Computing , Encryption , Cloud","mechatronics , microelectronics , optics"
Luka,Berry,Female,Luka.Berry@dell.com,University of Texas - Austin,P&O Marketing MBA,Bachelors,Finance,Junior,N,Massachusets - Hopkinton,"capital gain , asset allocation","wholesale , factory management , customer satisfaction"
Zachary,Wood,Female,Zachary.Wood@dell.com,University of Wisconsin - Madison (Engineering),CTO,Masters,Mechanical Engineering,Senior,Y,Massachusets - Hopkinton,"mechatronics , microelectronics , optics","business cycles , liabilities , mutual funds"
Kaia,Simpson,Female,Kaia.Simpson@dell.com,University of Texas - Austin,CSO,Bachelors,Business,Junior,N,Texas - Round Rock,"wholesale , factory management , customer satisfaction","computer architecture , microelectronics , motion control"
Juan,Hammond,Male,Juan.Hammond@dell.com,University of Texas - Austin,CTO,Masters,Finance,Senior,N,Texas - Round Rock,"business cycles , liabilities , mutual funds","Infrastructure , Grid Computing , Computer Graphics"
Maverick,Barnes,Male,Maverick.Barnes@dell.com,University of Massachusetts - Amherst,Telecom,Bachelors,Mechanical Engineering,Senior,N,Texas - Round Rock,"computer architecture , microelectronics , motion control","programmable logic , motion control , Signal processing"
Bowen,Thompson,Male,Bowen.Thompson@dell.com,Huston-Tillotson University (HBCU),ISG,Bachelors,Computer Science,Sophomore,N,Washington - Seattle,"Infrastructure , Grid Computing , Computer Graphics","circuitry , Instrumentation , Computer aided design"
John,Gomez,Male,John.Gomez@dell.com,University of Texas - Dallas,CSG,Bachelors,Electrical Engineering ,Sophomore,N,Texas - Round Rock,"programmable logic , motion control , Signal processing","Artifical intelligence , Java , Networks"
Zara,Scott,Female,Zara.Scott@dell.com,University of Washington - Seattle,ISG,Masters,Computer Engineering,Senior,N,Remote,"circuitry , Instrumentation , Computer aided design","Photonics , computer architecture , Instrumentation"
